Comment,Designator,Footprint,LCSC,Quantity
18p,"C11,C12,C37,C38,C45,C52",C_0402_1005Metric,C1549,6
1u,"C10,C19,C46,C53,C54,C55",C_0603_1608Metric,C15849,6
10u,"C1,C13,C20,C30,C39,C44,C50",C_0603_1608Metric,C19702,7
43k,R3,R_0603_1608Metric,C23172,1
22,"R10,R11,R12,R13,R16,R6,R7,R9",R_0402_1005Metric,C25092,8
470,"R24,R25",R_0402_1005Metric,C25117,2
56k,"R35,R36,R37,R38",R_0402_1005Metric,C25796,4
4.7k,"R14,R18,R2,R20,R21,R28,R31,R32,R33,R34,R4,R8",R_0402_1005Metric,C25900,12
1M,R1,R_0402_1005Metric,C26083,1
RTL8153B-VB-CG,U3,QFN-40_L5.0-W5.0-P0.40-BL-EP3.7,C2802072,1
PCM2704CDBR,U7,SSOP-28_L10.2-W5.3-P0.65-LS7.8-BL,C2859784,1
TUSB8042AIRGCR,U2,VQFN-64_L9.0-W9.0-P0.50-TL-EP6.0,C2860610,1
100n,"C14,C15,C16,C17,C2,C22,C23,C24,C25,C26,C27,C28,C29,C3,C31,C32,C33,C34,C35,C36,C4,C40,C41,C47,C48,C49,C5,C51,C6,C7,C8,C9",C_0402_1005Metric,C307331,32
22u,"C21,C42,C43",C_0805_2012Metric,C45783,3
CH334P,U4,QFN-16_L3.0-W3.0-P0.50-BL-EP1.7,C5373042,1
AP63203WU-7,U5,AP63203WU-7_DIO,C780769,1
25Mhz,Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9006,1
